DIABETIC RETINOPATHY,"Diabetic retinopathy is an eye condition that can cause vision loss and blindness in people who have diabetes. It affects blood vessels in the retina (the light-sensitive layer of tissue in the back of your eye). If you have diabetes, it's important to get a comprehensive dilated eye exam at least once a year. Diabetic retinopathy may not have any symptoms at first ' but finding it early can help you take steps to protect your vision. The early stages of diabetic retinopathy usually don't have any symptoms. Some people notice changes in their vision, like trouble reading or seeing faraway objects. These changes may come and go. In later stages of the disease, blood vessels in the retina start to bleed into the vitreous (gel-like fluid that fills your eye). If this happens, you may see dark, floating spots or streaks that look like cobwebs. Sometimes, the spots clear up on their own ' but it's important to get treatment right away. Without treatment, scars can form in the back of the eye. Blood vessels may also start to bleed again, or the bleeding may get worse."
DRY EYE,"Dry eye happens when your eyes don't make enough tears to stay wet, or when your tears don't work correctly. This can make your eyes feel uncomfortable, and in some cases it can also cause vision problems. Dry eye is common ' it affects millions of Americans every year. The good news is that if you have dry eye, there are lots of things you can do to keep your eyes healthy and stay comfortable. symptoms include: scratchy feeling in eye, stinging or burning feelings in eye, red eyes, sensitivity to light, blurry vision"
GLAUCOMA,"Glaucoma is group of eye diseases that can cause'vision loss and blindness'by'damaging a nerve in the back of your eye'called'the optic nerve. The symptoms can start so slowly that you may not notice them. The only way to find out if you have glaucoma is to get a comprehensive dilated eye exam.  At first, glaucoma doesn't usually have any symptoms. That's why half of people with glaucoma don't even know they have it. Over time, you may slowly lose vision, usually starting with your side (peripheral) vision ' especially the part of your vision that's closest to your nose. Because it happens so slowly, many people can't tell that their vision is changing at first. "
LOW VISION,"Low vision is a vision problem that makes it hard to do everyday activities. It can't be fixed with glasses, contact lenses, or other standard treatments like medicine or surgery. You may have low vision if you can't see well enough to do things like: Read, Drive, Recognize people's faces. Tell colors apart, See your television or computer screen clearly "
NEARSIGHTEDNESS,"Nearsightedness is a refractive error that makes far-away objects look blurry. It happens when the shape of the eye makes light focus in front of the retina (a light sensitive layer of tissue in the back of your eye), instead of on it."
NEARSIGHTEDNESS,"trouble seeing far things, needing to squint to see clearly, eye strain, headache"
FARSIGHTEDNESS,"Farsightedness is a refractive error that makes nearby objects look blurry. It happens when the shape of the eye makes light focus behind the retina (a light sensitive layer of tissue at the back of your eye), instead of on it."
FARSIGHTEDNESS,"trouble seeing near things or things that are close, eye strain, headache while reading"
CONJUCTIVITIS,"Pink eye, or conjunctivitis, causes swelling and redness in the inside of your eyelid and the white part of your eye. Your eye may also feel itchy and painful. Pink eye is common, and some types of pink eye spread very easily. You can keep from spreading it to other people by washing your hands often and not sharing items like pillowcases, towels, or makeup. symptoms are: pink or red eyes, itchy or burning eyes, watery eyes, white yellow or green fluid discharge coming from eyes, crust along eyelids or eyelashes, swollen eyelids, sensitivity from bright light, blurry vision"
RETINOBLASTOMA,"Retinoblastoma is a rare eye cancer that forms in the retina (the light-sensitive tissue at the back of the eye). Retinoblastoma is most common in children younger than age 5 ' but in rare cases it can develop in older children and adults. It can affect 1 eye or both eyes. Retinoblastoma can cause blindness and can also be life-threatening. But early diagnosis and treatment can help prevent vision loss and stop the cancer from spreading. That's why it's important to call your child's doctor right away if you notice signs of retinoblastoma. The most common sign of retinoblastoma is a white pupil (the round black opening in the center of the eye) when a light shines into the eye. Parents often notice this sign when they take a photo of their child using a flash. other symptoms include: eye pain, swelling, redness, watery or teary eyes, poor vision"
DRY EYE,"scratchy feeling in eye, stinging or burning feelings in eye, red eyes, sensitivity to light, blurry vision"
CONJUCTIVITIS,"itchiness, itching, pink eyes, eye pain, redness in eye, burning eyes, yellow discahrge from eye, swollen eyelids, sensitivity from light, blurry vision"
