OTOSCLEROSIS ,"Hearing loss, the most frequently reported symptom of otosclerosis, usually starts in one ear and then moves to the other. This loss may appear very gradually. Many people with otosclerosis first notice that they are unable to hear low-pitched sounds or can’t hear a whisper. Some people may also experience dizziness, balance problems, or tinnitus. Tinnitus is a ringing, roaring, buzzing, or hissing in the ears or head that sometimes occurs with hearing loss."
OTOSCLEROSIS ,"Symptom onset usually occurs by the early third decade of life, but onset is not unusual in later years. Symptoms include slowly progressive hearing loss, which is bilateral in 70% of cases"
INFECTIOUS MYRINGITIS ,"Severe pain. The pain comes on suddenly and lasts 24 to 48 hours. Hearing loss in the affected ear. Hearing loss will usually go away once the infection clears. Fever. Fluid draining from the ear. This will only happen if one of the blisters breaks. Unlike other types of middle ear infections, bullous myringitis doesn’t cause a buildup of fluid or pus in the ear, but other middle ear infections can occur at the same time. Full feeling in the ears. Irritability. If your young child has bullous myringitis, they might seem irritable from the pain. Tugging or pulling at ear. A child too young to vocalize their ear pain might tug or pull at their ear in an attempt to relieve the pain."
INFECTIOUS MYRINGITIS ,"The eardrum becomes inflamed, and small, fluid-filled blisters (vesicles) form on its surface. Although vesicles may also be present in otitis media, myringitis does not cause pus or fluid in the middle ear. Pain begins suddenly and lasts for 24 to 48 hours. There may be some hearing loss and fever."
INFECTIOUS MYRINGITIS ,"Fever Pain while chewing or moving the neck Decreased mobility in the neck area Strong pain in the ear, caused by blisters and inflammation Drainage flowing out of the ear"
MÉNIÈRE DISEASE ,"feel dizziness with a spinning sensation (vertigo) feel unsteady on your feet feel sick (nausea) or be sick (vomit) hear ringing, roaring or buzzing inside your ear have a sudden drop in hearing"
MÉNIÈRE DISEASE ,"Recurring episodes of vertigo. You have a spinning sensation that starts and stops spontaneously. Episodes of vertigo occur without warning and usually last 20 minutes to several hours, but not more than 24 hours. Severe vertigo can cause nausea. Hearing loss. Hearing loss in Meniere's disease may come and go, particularly early on. Eventually, most people have some permanent hearing loss. Ringing in the ear (tinnitus). Tinnitus is the perception of a ringing, buzzing, roaring, whistling or hissing sound in your ear. Feeling of fullness in the ear. People with Meniere's disease often feel pressure in an affected ear (aural fullness)."
MÉNIÈRE DISEASE ,"recurrent episodes of vertigo, fluctuating hearing loss and tinnitus; episodes may be preceded by a headache and a feeling of fullness in the ears People may also experience additional symptoms related to irregular reactions of the autonomic nervous system. These symptoms are not symptoms of Meniere's disease per se, but rather are side effects resulting from failure of the organ of hearing and balance, and include nausea, vomiting, and sweating—which are typically symptoms of vertigo, and not of Ménière's.[1] This includes a sensation of being pushed sharply to the floor from behind. Sudden falls without loss of consciousness (drop attacks) may be experienced by some people."
LABYRINTHITIS ,"dizziness vertigo loss of balance nausea and vomiting tinnitus, which is characterized by a ringing or buzzing in your ear loss of hearing in the high-frequency range in one ear difficulty focusing your eyes"
LABYRINTHITIS ,"a feeling of pressure inside your ear(s) ringing or humming in your ear(s) (tinnitus) fluid or pus leaking out of your ear(s) ear pain feeling sick (nausea) or being sick a high temperature (fever) of 38C (100.4F) or above changes in vision, such as blurred vision or double visionmild headaches "
LABYRINTHITIS ,"Blurry vision Feeling unbalanced, like you’re about to fall Feeling lightheaded, or like you’re floating Nausea and vomiting Ringing in your ears or hearing loss"
MOTION SICKNESS ,Family history of motion sickness. Hormonal birth control. Inner ear disorders. Menstrual periods. Migraines. Parkinson’s disease. Pregnancy.
MOTION SICKNESS ," strike without warning. They can get worse quickly. You may feel sick to your stomach (nausea). Other symptoms include vomiting, pale skin, headache, a cold sweat, dizziness, and irritability."
EPISTAXIS ,"Symptoms include bleeding from one or both nostrils and bleeding down the back of the throat with spitting, coughing, or vomiting of blood. Prolonged or recurrent nosebleeds may cause anemia. After a big nosebleed, dark or tarry bowel movements mean that a large amount of blood was swallowed."
EPISTAXIS ,"Nosebleeds usually involve one nostril, but occasionally both nostrils are involved. If one nostril becomes partially blocked with a blood clot, the blood might flow out the other nostril or down the back of the throat. In a posterior nosebleed (higher up in the nose), large amounts of blood typically flow down the back of the throat. The amount of bleeding from a nosebleed can vary with posterior bleeds usually bleeding significantly more."
EPISTAXIS ,bleeding from either or both nostrils a sensation of flowing liquid at the back of the throat the urge to swallow frequently.
SINUSITIS,"Sinusitis usually results from viral or bacterial infection. The bacteria responsible for acute sinusitis are usually pneumococci, other streptococci, H. influenzae, and M. catarrhalis. Staphylococci and gram-negative bacteria are more likely to cause sinusitis in chronic cases or in intensive care patients. the prominent symptoms are sneezing, frontal headache, watery nasal discharge, and a stuffy, burning, itchy nose"
SINUSITIS,"Predisposing factors include any condition that interferes with drainage and ventilation of the sinuses, such as chronic nasal edema, deviated septum, viscous mucus, nasal polyps, allergic rhinitis, nasal intubation, or debilitation due to chemotherapy, malnutrition, diabetes, blood dyscrasias, cystic fibrosis, human immunodeficiency virus or other immunodeficiency disorders, or chronic use of steroids. Bacterial invasion commonly occurs as a result of the conditions listed above or after a viral infection. It may also result from swimming in contaminated water."
SINUSITIS,"The primary indication of acute sinusitis is nasal congestion, followed by a gradual buildup of pressure in the affected sinus. For 24 to 48 hours after onset, nasal discharge may be present and later may become purulent. Associated symptoms include malaise, sore throat, headache, and low-grade fever of 99° to 99.5° F (37.2° to 37.5° C). maxillary sinusitis causes pain over the cheeks and upper teeth; ethmoid sinusitis, pain over the eyes; frontal sinusitis, pain over the eyebrows; and sphenoid sinusitis (rare), pain behind the eyes. "
NASAL POLYPS,"Nasal obstruction is the primary indication of nasal polyps. Such obstruction causes anosmia, a sensation of fullness in the face, nasal discharge, headache, and shortness of breath. Associated clinical features are usually the same as those of allergic rhinitis."
PHARYNGITIS,"Pharyngitis is an inflammatory illness of the mucous membranes and underlying structures of the throat (pharynx). Inflammation usually involves the nasopharynx, uvula, soft palate, and tonsils. The illness can be caused by bacteria, viruses, mycoplasmas, fungi, and parasites and by recognized diseases of uncertain causes. Infection by Streptococcus bacteria may be a complication arising from a common cold"
PHARYNGITIS,"The symptoms of streptococcal pharyngitis (commonly known as strep throat) are generally redness and swelling of the throat, a pustulant fluid on the tonsils or discharged from the mouth, extremely sore throat that is felt during swallowing, swelling of lymph nodes, and a slight fever; sometimes in children there are abdominal pain, nausea, headache, and irritability. "
PHARYNGITIS,"Pharyngitis produces a sore throat and slight difficulty in swallowing. Swallowing saliva is usually more painful than swallowing food. Pharyngitis may also cause the sensation of a lump in the throat as well as a constant, aggravating urge to swallow. Associated features may include mild fever, headache, muscle and joint pain, coryza, and rhinorrhea. Uncomplicated pharyngitis usually subsides in 3 to 10 days."
TONSILLITIS,"Tonsillitis is an inflammatory infection of the tonsils caused by invasion of the mucous membrane by microorganisms, usually hemolytic streptococci or viruses. The symptoms are sore throat, difficulty in swallowing, fever, malaise, and enlarged lymph nodes on both sides of the neck. The infection lasts about 5 days. "
TONSILLITIS,"dysphagia, fever, swelling and tenderness of the lymph glands in the submandibular area, muscle and joint pain, chills, malaise, headache, and pain (frequently referred to the ears). Excess secretions may elicit the complaint of a constant urge to swallow; the back of the throat may feel constricted."
VOCAL CORD PARALYSIS,"Unilateral paralysis, the most common form, may cause vocal weakness and hoarseness. Bilateral paralysis typically produces vocal weakness and incapacitating airway obstruction if the cords become paralyzed in the adducted position."
TONSILLITIS,"pan in throat, sore throat, unable to swallow, mild fever, inflamation in throat"
